CN,3,China
IN,3,India
US,2,United States of America
US,2,United States of America
AU,3,Australia
CN,3,China
IN,3,India
US,2,United States of America
US,2,United States of America
AU,3,Australia
CN,3,China
IN,3,India
US,2,United States of America
US,2,United States of America
AU,3,Australia
CN,3,China
IN,3,India
US,2,United States of America
US,2,United States of America
US,2,United States of America
US,2,United States of America
CA,2,Canada
AU,3,Australia
MX,2,Mexico
CN,3,China
IN,3,India
US,2,United States of America
US,2,United States of America
US,2,United States of America
US,2,United States of America
CA,2,Canada
AU,3,Australia
MX,2,Mexico
US,2,United States of America
AU,3,Australia
CN,3,China
IN,3,India
US,2,United States of America
CA,2,Canada
AU,3,Australia
MX,2,Mexico
CN,3,China
IN,3,India
US,2,United States of America
CA,2,Canada
AU,3,Australia
MX,2,Mexico
CN,3,China
IN,3,India
US,2,United States of America
CA,2,Canada
AU,3,Australia
MX,2,Mexico
CN,3,China
IN,3,India
US,2,United States of America
CA,2,Canada
AU,3,Australia
MX,2,Mexico
CN,3,China
IN,3,India
US,2,United States of America
CA,2,Canada
AU,3,Australia
MX,2,Mexico
CN,3,China
IN,3,India
US,2,United States of America
CA,2,Canada
AU,3,Australia
MX,2,Mexico
CN,3,China
IN,3,India
US,2,United States of America
CA,2,Canada
AU,3,Australia
MX,2,Mexico
CN,3,China
IN,3,India
US,2,United States of America
CA,2,Canada
AU,3,Australia
MX,2,Mexico
CN,3,China
IN,3,India
US,2,United States of America
CA,2,Canada
AU,3,Australia
MX,2,Mexico
CN,3,China
IN,3,India
US,2,United States of America
CA,2,Canada
AU,3,Australia
MX,2,Mexico
CN,3,China
IN,3,India
US,2,United States of America
CA,2,Canada
AU,3,Australia
MX,2,Mexico
CN,3,China
IN,3,India
US,2,United States of America
CA,2,Canada
AU,3,Australia
MX,2,Mexico
CN,3,China
IN,3,India
US,2,United States of America
US,2,United States of America
AU,3,Australia
CN,3,China
IN,3,India
US,2,United States of America
US,2,United States of America
AU,3,Australia
CN,3,China
IN,3,India
US,2,United States of America
US,2,United States of America
AU,3,Australia
CN,3,China
IN,3,India
US,2,United States of America
US,2,United States of America
AU,3,Australia
CN,3,China
IN,3,India
US,2,United States of America
US,2,United States of America
AU,3,Australia
CN,3,China
IN,3,India
US,2,United States of America
US,2,United States of America
AU,3,Australia
CN,3,China
IN,3,India
US,2,United States of America
US,2,United States of America
AU,3,Australia
CN,3,China
IN,3,India
US,2,United States of America
US,2,United States of America
AU,3,Australia
CN,3,China
IN,3,India
US,2,United States of America
US,2,United States of America
AU,3,Australia
CN,3,China
IN,3,India
US,2,United States of America
US,2,United States of America
AU,3,Australia
CN,3,China
IN,3,India
US,2,United States of America
US,2,United States of America
AU,3,Australia
CN,3,China
IN,3,India
US,2,United States of America
US,2,United States of America
AU,3,Australia
CN,3,China
IN,3,India
US,2,United States of America
US,2,United States of America
AU,3,Australia
CN,3,China
IN,3,India
US,2,United States of America
US,2,United States of America
AU,3,Australia
CN,3,China
IN,3,India
US,2,United States of America
US,2,United States of America
AU,3,Australia
CN,3,China
IN,3,India
US,2,United States of America
US,2,United States of America
AU,3,Australia
CN,3,China
IN,3,India
US,2,United States of America
US,2,United States of America
AU,3,Australia
CN,3,China
IN,3,India
US,2,United States of America
US,2,United States of America
AU,3,Australia
CN,3,China
IN,3,India
US,2,United States of America
US,2,United States of America
AU,3,Australia
CN,3,China
IN,3,India
US,2,United States of America
US,2,United States of America
AU,3,Australia
CN,3,China
IN,3,India
US,2,United States of America
US,2,United States of America
AU,3,Australia
CN,3,China
IN,3,India
US,2,United States of America
US,2,United States of America
AU,3,Australia
CN,3,China
IN,3,India
US,2,United States of America
US,2,United States of America
AU,3,Australia
CN,3,China
IN,3,India
US,2,United States of America
US,2,United States of America
US,2,United States of America
US,2,United States of America
CA,2,Canada
AU,3,Australia
MX,2,Mexico
CN,3,China
IN,3,India
US,2,United States of America
US,2,United States of America
US,2,United States of America
US,2,United States of America
CA,2,Canada
AU,3,Australia
MX,2,Mexico
CN,3,China
IN,3,India
US,2,United States of America
US,2,United States of America
US,2,United States of America
US,2,United States of America
CA,2,Canada
AU,3,Australia
MX,2,Mexico
CN,3,China
IN,3,India
US,2,United States of America
US,2,United States of America
US,2,United States of America
US,2,United States of America
CA,2,Canada
AU,3,Australia
MX,2,Mexico
CN,3,China
IN,3,India
US,2,United States of America
US,2,United States of America
US,2,United States of America
US,2,United States of America
CA,2,Canada
AU,3,Australia
MX,2,Mexico
CN,3,China
